Order_No,Order_Date,Retailer_Country,Retailer_Type,Order_Mode,Product_Category,Product_Type,Product,Revenue,Quantity,Gross margin
10001 -2012,2/8/2012,Canada,Outdoors Shop,Fax,Personal Accessories,Binoculars,Ranger Vision,4160,26,0.5341875
10002 -2012,1/24/2012,Canada,Outdoors Shop,Fax,Personal Accessories,Navigation,Trail Scout,11662,49,0.35411765
10003 -2012,5/3/2012,Canada,Outdoors Shop,Fax,Personal Accessories,Navigation,Trail Star,13552,88,0.42402597
10004 -2012,6/25/2012,Canada,Golf Shop,E-mail,Personal Accessories,Knives,Max Gizmo,6723.2,176,0.53910043
10005 -2012,5/20/2012,Canada,Golf Shop,E-mail,Personal Accessories,Binoculars,Opera Vision,1760,16,0.541
10006 -2012,12/26/2012,Canada,Golf Shop,E-mail,Personal Accessories,Binoculars,Ranger Vision,22560,141,0.46418706
10007 -2012,9/24/2012,Canada,Golf Shop,E-mail,Personal Accessories,Navigation,Trail Master,9125,25,0.3492274
10008 -2012,8/26/2012,Canada,Golf Shop,E-mail,Golf Equipment,Woods,Hailstorm Titanium Woods Set,72884.02,61,0.42250716
10009 -2012,2/23/2012,Canada,Golf Shop,E-mail,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,35102.97,41,0.44845066
10010 -2012,5/27/2012,Canada,Golf Shop,E-mail,Golf Equipment,Putters,Course Pro Putter,36775.25,509,0.51695502
10011 -2012,3/5/2012,Canada,Golf Shop,E-mail,Golf Equipment,Putters,Blue Steel Max Putter,29543.46,174,0.45933212
10012 -2012,12/1/2012,Canada,Department Store,E-mail,Camping Equipment,Cooking Gear,TrailChef Water Bag,12588.86,2011,0.53194888
10013 -2012,8/29/2012,Canada,Department Store,E-mail,Camping Equipment,Cooking Gear,TrailChef Canteen,8252.57,941,0.49600912
10014 -2012,12/24/2012,Canada,Department Store,E-mail,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,13807.82,598,0.31009095
10015 -2012,2/9/2012,Canada,Department Store,E-mail,Camping Equipment,Cooking Gear,TrailChef Cup,7224.16,2024,0.76185467
10016 -2012,1/18/2012,Canada,Department Store,E-mail,Camping Equipment,Cooking Gear,TrailChef Cook Set,30372.48,576,0.33681016
10017 -2012,12/4/2012,Canada,Department Store,E-mail,Camping Equipment,Cooking Gear,TrailChef Kettle,84067.93,9049,0.53606768
10018 -2012,8/23/2012,Canada,Department Store,E-mail,Camping Equipment,Sleeping Bags,Hibernator Lite,34718.8,410,0.29145017
10019 -2012,9/1/2012,Canada,Department Store,E-mail,Camping Equipment,Sleeping Bags,Hibernator,42786.2,310,0.3769019
10020 -2012,3/27/2012,Canada,Department Store,E-mail,Camping Equipment,Sleeping Bags,Hibernator Pad,20173.34,517,0.50871348
10021 -2012,5/12/2012,Canada,Department Store,E-mail,Camping Equipment,Sleeping Bags,Hibernator Pillow,28387.1,1884,0.49321558
10022 -2012,6/25/2012,Canada,Department Store,E-mail,Camping Equipment,Sleeping Bags,Hibernator Camp Cot,96638.64,984,0.33560737
10023 -2012,9/24/2012,Canada,Department Store,E-mail,Camping Equipment,Packs,Canyon Mule Climber Backpack,26877,372,0.2733564
10024 -2012,3/15/2012,Canada,Department Store,E-mail,Camping Equipment,Packs,Canyon Mule Weekender Backpack,177368.4,660,0.37984669
10025 -2012,3/28/2012,Canada,Department Store,E-mail,Camping Equipment,Packs,Canyon Mule Journey Backpack,132820.41,381,0.38805542
10026 -2012,10/9/2012,Canada,Department Store,E-mail,Camping Equipment,Packs,Canyon Mule Cooler,18733.5,575,0.50890117
10027 -2012,6/11/2012,Canada,Department Store,E-mail,Camping Equipment,Lanterns,Firefly Lite,11936.89,833,0.52896022
10028 -2012,1/29/2012,Canada,Department Store,E-mail,Camping Equipment,Lanterns,Firefly Mapreader,17376.04,1111,0.52046036
10029 -2012,7/21/2012,Canada,Department Store,E-mail,Camping Equipment,Lanterns,Firefly 2,57905.55,2181,0.37212806
10030 -2012,2/8/2012,Canada,Department Store,E-mail,Camping Equipment,Lanterns,Firefly 4,5741.15,199,0.37608319
10031 -2012,2/29/2012,Canada,Department Store,E-mail,Camping Equipment,Lanterns,Firefly Multi-light,9909.81,381,0.31641676
10032 -2012,7/4/2012,Canada,Department Store,E-mail,Camping Equipment,Lanterns,EverGlow Single,12253.7,362,0.46706056
10033 -2012,8/20/2012,Canada,Department Store,E-mail,Camping Equipment,Lanterns,EverGlow Double,5297.61,103,0.44102152
10034 -2012,4/1/2012,Canada,Department Store,E-mail,Camping Equipment,Lanterns,EverGlow Butane,15535.48,244,0.36186587
10035 -2012,9/25/2012,Canada,Department Store,E-mail,Camping Equipment,Lanterns,EverGlow Lamp,32807.68,1216,0.33395107
10036 -2012,11/22/2012,Canada,Department Store,E-mail,Camping Equipment,Lanterns,Flicker Lantern,3778.44,111,0.54112808
10037 -2012,5/1/2012,Canada,Department Store,E-mail,Personal Accessories,Knives,Double Edge,7649.39,469,0.29920294
10038 -2012,10/29/2012,Canada,Department Store,E-mail,Personal Accessories,Knives,Max Gizmo,5462.6,143,0.53832607
10039 -2012,4/13/2012,Canada,Department Store,E-mail,Personal Accessories,Binoculars,Seeker 35,16626.96,168,0.28069112
10040 -2012,9/19/2012,Canada,Department Store,E-mail,Personal Accessories,Binoculars,Seeker 50,22816.86,181,0.26558782
10041 -2012,5/25/2012,Canada,Department Store,E-mail,Personal Accessories,Binoculars,Ranger Vision,24800,155,0.42211895
10042 -2012,11/3/2012,Canada,Department Store,E-mail,Personal Accessories,Navigation,Glacier Basic,18313.98,577,0.36988028
10043 -2012,3/26/2012,Canada,Department Store,E-mail,Personal Accessories,Navigation,Glacier GPS,25347.63,231,0.28415201
10044 -2012,1/5/2012,Canada,Department Store,E-mail,Personal Accessories,Navigation,Trail Master,34310,94,0.34801894
10045 -2012,1/5/2012,Canada,Department Store,E-mail,Personal Accessories,Navigation,Trail Scout,29512,124,0.35583932
10046 -2012,4/21/2012,Canada,Department Store,E-mail,Personal Accessories,Navigation,Trail Star,37884,246,0.42449055
10047 -2012,6/4/2012,Canada,Department Store,E-mail,Outdoor Protection,Insect Repellents,BugShield Lotion Lite,13246.66,1931,0.72594752
10048 -2012,10/9/2012,Canada,Department Store,E-mail,Outdoor Protection,Insect Repellents,BugShield Lotion,8499.54,1239,0.66034985
10049 -2012,2/3/2012,Canada,Department Store,E-mail,Outdoor Protection,Sunscreen,Sun Blocker,3204.6,654,0.60204082
10050 -2012,8/24/2012,Canada,Department Store,E-mail,Outdoor Protection,Sunscreen,Sun Shelter 15,5315.6,1096,0.63092784
10051 -2012,3/15/2012,Canada,Department Store,E-mail,Outdoor Protection,Sunscreen,Sun Shelter 30,10198.25,2147,0.61052632
10052 -2012,2/13/2012,Canada,Department Store,E-mail,Outdoor Protection,Sunscreen,Sun Shield,5333.16,907,0.53061224
10053 -2012,7/16/2012,Canada,Department Store,E-mail,Outdoor Protection,First Aid,Deluxe Family Relief Kit,18740.4,552,0.58645066
10054 -2012,5/9/2012,Canada,Department Store,E-mail,Outdoor Protection,First Aid,Calamine Relief,474,79,0.52833333
10055 -2012,4/7/2012,Canada,Department Store,E-mail,Outdoor Protection,First Aid,Aloe Relief,1940.33,371,0.63288719
10056 -2012,10/23/2012,Canada,Department Store,E-mail,Outdoor Protection,First Aid,Insect Bite Relief,1362,227,0.54
10057 -2012,7/2/2012,Canada,Department Store,E-mail,Golf Equipment,Irons,Hailstorm Steel Irons,124009,326,0.41902604
10058 -2012,2/20/2012,Canada,Department Store,E-mail,Golf Equipment,Irons,Hailstorm Titanium Irons,86409.18,99,0.43751289
10059 -2012,11/8/2012,Canada,Department Store,E-mail,Golf Equipment,Irons,Lady Hailstorm Steel Irons,109673.01,219,0.44535634
10060 -2012,3/4/2012,Canada,Department Store,E-mail,Golf Equipment,Irons,Lady Hailstorm Titanium Irons,73539.84,88,0.44955007
10061 -2012,7/6/2012,Canada,Department Store,E-mail,Golf Equipment,Woods,Hailstorm Titanium Woods Set,140988.76,118,0.42250716
10062 -2012,4/10/2012,Canada,Department Store,E-mail,Golf Equipment,Woods,Hailstorm Steel Woods Set,188560.32,278,0.49636912
10063 -2012,10/22/2012,Canada,Department Store,E-mail,Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,42178.62,33,0.48311609
10064 -2012,5/28/2012,Canada,Department Store,E-mail,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,129281.67,151,0.44845066
10065 -2012,1/9/2012,Canada,Department Store,E-mail,Golf Equipment,Putters,Course Pro Putter,191245.75,2647,0.51695502
10066 -2012,3/25/2012,Canada,Department Store,E-mail,Golf Equipment,Putters,Blue Steel Putter,68992.23,817,0.51211318
10067 -2012,7/15/2012,Canada,Department Store,E-mail,Golf Equipment,Putters,Blue Steel Max Putter,61803.56,364,0.45933212
10068 -2012,7/29/2012,Canada,Department Store,E-mail,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,19536.69,1907,0.7266886
10069 -2012,3/6/2012,Canada,Department Store,E-mail,Golf Equipment,Golf Accessories,Course Pro Umbrella,25275.03,2048,0.51382847
10070 -2012,5/8/2012,Canada,Department Store,E-mail,Golf Equipment,Golf Accessories,Course Pro Golf Bag,34552.69,167,0.6147941
10071 -2012,8/20/2012,Canada,Department Store,E-mail,Golf Equipment,Golf Accessories,Course Pro Gloves,23248.09,3062,0.68257952
10072 -2012,6/18/2012,Canada,Outdoors Shop,E-mail,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,37557.52,308,0.34754797
10073 -2012,11/16/2012,Canada,Outdoors Shop,E-mail,Camping Equipment,Cooking Gear,TrailChef Double Flame,23110.92,162,0.4742745
10074 -2012,9/26/2012,Canada,Outdoors Shop,E-mail,Camping Equipment,Sleeping Bags,Hibernator Lite,37428.56,442,0.29145017
10075 -2012,8/24/2012,Canada,Outdoors Shop,E-mail,Camping Equipment,Packs,Canyon Mule Extreme Backpack,38527.21,89,0.4481739
10076 -2012,4/11/2012,Canada,Outdoors Shop,E-mail,Camping Equipment,Lanterns,Firefly Lite,5614.36,388,0.53351762
10077 -2012,8/16/2012,Canada,Outdoors Shop,E-mail,Camping Equipment,Lanterns,EverGlow Butane,4647.91,73,0.36186587
10078 -2012,1/9/2012,Canada,Outdoors Shop,E-mail,Mountaineering Equipment,Rope,Husky Rope 50,14588.8,97,0.32905585
10079 -2012,7/13/2012,Canada,Outdoors Shop,E-mail,Mountaineering Equipment,Rope,Husky Rope 60,9465.8,53,0.29165733
