math,english
72,72
69,90
90,95
47,57
76,78
71,83
88,95
40,43
64,64
38,60
58,54
40,52
65,81
78,72
50,53
69,75
88,89
18,32
46,42
54,58
66,69
65,75
44,54
69,73
74,71
73,74
69,54
67,69
70,70
62,70
69,74
63,65
56,72
40,42
97,87
81,81
74,81
50,64
75,90
57,56
55,61
58,73
53,58
59,65
50,56
65,54
55,65
66,71
57,74
82,84
53,55
77,69
53,44
88,78
71,84
33,41
82,85
52,55
58,59
0,17
79,74
39,39
62,61
69,80
59,58
67,64
45,37
60,72
61,58
39,64
58,63
63,55
41,51
61,57
49,49
44,41
30,26
80,78
61,74
62,68
47,49
49,45
50,47
72,64
42,39
73,80
76,83
71,71
58,70
73,86
