tenure,MonthlyCharges,TotalCharges,Partner,gender_Male,MultipleLines_Yes,Churn
-1.280248037,-1.161693935,-0.994194088,1,0,0,0
0.064302685,-0.26087792,-0.173739818,0,1,0,0
-1.239504076,-0.363923294,-0.959649109,0,1,0,1
0.512486259,-0.747850415,-0.195247707,0,1,0,0
-1.239504076,0.196178176,-0.940457454,0,0,0,1
-0.995040308,1.158489012,-0.645369218,0,0,1,1
-0.42462485,0.807802334,-0.147312689,0,1,1,0
-0.913552385,-1.16501798,-0.874169038,0,0,0,0
-0.180161082,1.329677295,0.336515545,1,0,1,1
1.205133601,-0.287470275,0.531476285,0,1,0,0
-0.791320502,-0.493561024,-0.748187957,1,1,0,0
-0.669088618,-1.524014768,-0.86318347,0,1,0,0
1.042157756,1.181757322,1.499066574,1,1,1,0
0.675462104,1.293112808,1.214588897,0,1,1,1
-0.302392966,1.352945606,0.177688057,0,1,0,0
1.49034133,1.610559042,2.475877682,1,0,1,0
0.797693988,-1.467506014,-0.556050816,0,0,0,0
1.571829252,1.392834138,2.249592631,0,1,1,0
-0.913552385,-0.319048696,-0.774262136,1,0,0,1
-0.465368811,0.839380756,-0.185475405,0,0,0,0
-1.280248037,-0.83593759,-0.989870451,0,1,0,1
-0.832064463,-1.495760391,-0.918133369,1,1,0,0
-1.280248037,-1.484126236,-0.998473606,0,1,0,1
1.042157756,-0.162818612,0.53904265,1,0,1,0
0.675462104,-0.172790745,0.303095594,1,1,0,0
-0.09867316,-0.315724651,-0.332081999,0,0,0,0
0.593974182,1.148516879,1.087901916,1,1,1,1
-1.280248037,-1.15005978,-0.994039672,1,1,0,1
1.612573214,0.846028844,1.802757966,1,1,1,0
-0.628344657,-0.003264484,-0.525101515,0,0,0,1
1.571829252,1.048795549,1.978129983,1,0,1,0
-1.239504076,1.020541172,-0.927221831,1,1,0,0
-0.220905044,0.044934159,-0.18037969,1,0,0,0
-1.280248037,-1.482464214,-0.998451547,0,1,0,0
-1.280248037,-0.649791107,-0.987399801,0,1,0,0
1.612573214,1.166799123,2.191995607,1,0,1,0
-1.117272192,0.162937733,-0.867551226,0,1,0,1
0.553230221,0.332463994,0.558101949,0,0,0,0
0.064302685,1.381199983,0.558521077,0,1,1,1
-0.872808424,1.098656214,-0.51967491,0,0,1,1
-0.913552385,-0.506857201,-0.797490656,1,1,0,0
1.531085291,0.146317511,1.142256212,1,0,1,0
-0.628344657,-1.46418197,-0.822836876,1,0,0,0
1.245877562,0.500328233,1.137447269,0,0,1,0
-0.791320502,0.379000615,-0.574360096,1,0,1,0
0.675462104,0.654896295,0.716223536,0,0,1,0
-1.239504076,-0.516829334,-0.964568349,0,1,0,0
-1.239504076,0.526920588,-0.94376636,0,0,0,1
0.797693988,0.497004189,0.853476957,0,1,1,0
1.49034133,-0.021546728,0.869492062,1,0,1,0
0.430998337,0.846028844,0.686244848,0,0,1,0
-0.709832579,1.140206768,-0.378053733,0,0,0,1
-0.302392966,0.156289644,-0.234116323,1,0,1,0
-0.995040308,0.526920588,-0.727959512,1,0,1,1
1.123645678,0.334126016,0.958722227,1,0,0,0
-0.587600695,1.01887915,-0.234160442,0,1,1,1
1.245877562,1.158489012,1.777058796,1,0,1,0
1.368109446,1.451004914,2.114633385,1,1,1,0
0.064302685,-1.324572108,-0.612809584,1,0,1,0
1.612573214,1.419426492,2.457590461,0,0,1,0
0.593974182,1.186743389,1.069349983,1,0,1,0
1.123645678,0.834394689,1.397416982,0,1,1,0
1.612573214,-0.754498504,0.299433738,1,1,0,0
-0.587600695,-0.345641051,-0.585103011,1,0,0,0
-0.954296347,0.983976684,-0.629155579,0,0,1,1
-1.198760114,0.349084216,-0.899669673,0,0,0,0
0.593974182,0.468749812,0.60312513,1,1,1,0
-0.057929199,0.478721945,0.094369804,0,0,0,0
0.716206066,-1.484126236,-0.596662122,1,0,0,0
-0.913552385,0.500328233,-0.615875836,0,1,0,0
-1.280248037,-0.523477423,-0.985723288,0,1,0,0
0.797693988,-1.475816125,-0.526182425,1,0,0,0
1.286621523,1.55571231,2.124626281,1,1,1,0
1.205133601,-1.347840418,-0.378847871,1,1,1,0
-1.198760114,-0.009912572,-0.929096877,0,0,0,0
0.960669833,1.519147823,1.701306908,0,0,1,0
0.553230221,-0.304090496,0.178923382,0,0,0,0
-0.995040308,-0.33733094,-0.794600879,1,0,0,0
-0.09867316,0.330801972,-0.075884438,0,1,0,0
0.512486259,-1.292993687,-0.470614864,1,0,1,0
-1.280248037,0.483708012,-0.972355308,0,0,0,1
-0.872808424,-0.473616757,-0.7579382,1,0,0,0
-1.035784269,0.344098149,-0.788137482,1,0,0,1
0.390254375,1.296436852,0.901875222,0,0,0,0
